623,13,276,0.61623616,0.999999994,0.760479037,8,5,0,0,4.438405797,7,1,0,0,0,0,0,4,4100,1039.666667,0,690400,113900,0,8957.666667,3882.362198,2600,14800,9300,0,0,0,1,0,0,0,0,0.184925552,0.171105528,0.028573902,0.028693577,0.586701442,0.552371542,0.252978543,0.072463768,0.010869565,0.869565217,0.130434783,0.328425325,0.1,0.7,-0.216666667,-0.3,-0.1,0.642857143,0.214285714,0.142857143,0.214285714,4400
485,8,703,0.529581529,0.999999998,0.714285713,11,6,1,0,4.728307255,9,0,0,1,0,0,0,4,1000,287.375,0,843300,197288.8889,0,6903.5,2853.778906,1000,3500,2100,0,1,0,0,0,0,0,0,0.798767972,0.133664194,0.023085485,0.022259095,0.022223254,0.442256702,0.178117716,0.038406828,0.011379801,0.771428571,0.228571429,0.394584736,0.033333333,1,-0.173958333,-0.4,-0.05,0,0,0.5,0,1300
593,9,901,0.505760368,0.999999998,0.663636362,27,11,1,10,4.599334073,9,0,0,0,0,0,1,4,1500,497.5,0,690400,174577.7778,0,11131.28571,3673.551161,705,17300,4509.2,0,0,0,0,0,1,0,1,0.02222309,0.022224318,0.47053361,0.462788753,0.022230228,0.426355997,0.095154698,0.044395117,0.02663707,0.625,0.375,0.403974567,0.1,1,-0.325868056,-0.7,-0.1,0.441666667,0.05,0.058333333,0.05,890
140,12,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,-1,588,167.7777778,8700,843300,439800,3231.190476,6163.323077,4664.120472,0,0,0,0,0,0,1,0,0,0,0,0.139911523,0.148957403,0.022349075,0.557928758,0.130853241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1600
583,8,308,0.635761587,0.999999995,0.811827953,7,0,0,1,4.535714286,7,0,0,0,0,0,1,4,1000,223,0,690400,290657.1429,0,5385.756757,2923.402523,0,0,0,0,1,0,0,0,0,0,0,0.028573018,0.028580056,0.599595807,0.314677632,0.028573487,0.484166667,-0.041458333,0.022727273,0.022727273,0.5,0.5,0.244480519,0.1,0.5,-0.405952381,-0.7,-0.25,0,0,0.5,0,178
253,14,161,0.670967738,0.999999989,0.826086948,5,2,2,0,4.919254658,7,0,0,0,0,1,0,-1,747,222.4285714,12900,843300,329728.5714,2641.705036,5980.875,3515.045401,26000,26000,26000,0,0,1,0,0,0,0,0,0.227563596,0.028572523,0.028597927,0.028573051,0.686692902,0.314259259,0.01962963,0.00621118,0.031055901,0.166666667,0.833333333,0.8,0.8,0.8,-0.221111111,-0.4,-0.125,0,0,0.5,0,3800
667,10,478,0.55723542,0.999999996,0.730909088,12,0,1,0,4.682008368,9,0,0,0,0,0,1,217,1200,503,0,617900,210378.3333,0,5718.077419,2407.715699,0,0,0,0,1,0,0,0,0,0,0,0.022223136,0.022250069,0.911080948,0.022222728,0.022223119,0.483739409,0.138840789,0.046025105,0.014644351,0.75862069,0.24137931,0.300924833,0.1,1,-0.207936508,-0.5,-0.1,0.9,-0.5,0.4,0.5,720
238,9,875,0.504597701,0.999999998,0.707456978,8,2,1,0,4.804571429,5,0,0,0,0,0,1,-1,410,101.75,0,843300,331340,0,4459.266904,2564.744938,2900,5400,4150,0,0,0,1,0,0,0,0,0.239697541,0.040005635,0.639884463,0.04000631,0.040406052,0.480162037,0.162256944,0.048,0.014857143,0.763636364,0.236363636,0.410793651,0.1,1,-0.341666667,-1,-0.083333333,0.5,0.5,0,0.5,2600
142,13,306,0.603333331,0.999999995,0.79459459,5,4,1,0,4.62745098,8,0,1,0,0,0,0,-1,714,304.1428571,0,843300,200090.125,0,4446.985965,2742.185226,621,2600,1955.25,0,1,0,0,0,0,0,0,0.025000497,0.899944434,0.025000383,0.025054455,0.02500023,0.442777778,0.093125,0.049019608,0.019607843,0.714285714,0.285714286,0.299292929,0.1,0.6,-0.342361111,-0.8,-0.166666667,0,0,0.5,0,706
391,8,260,0.521235519,0.999999993,0.655172409,4,3,1,0,4.507692308,10,0,0,0,0,1,0,-1,1300,299,1300,843300,141260,1300,4666.841371,3127.213856,4100,4100,4100,0,0,0,0,1,0,0,0,0.020171066,0.120447637,0.020002918,0.020030629,0.819347751,0.500079745,0.296032695,0.061538462,0,1,0,0.351538826,0.0625,0.8,0,0,0,0,0,0.5,0,1500
272,7,335,0.582822084,0.999999995,0.730769227,17,3,4,0,4.695522388,10,0,0,1,0,0,0,-1,1900,336.859,1900,843300,309540,1684.088235,3629.084844,2710.722743,0,0,0,0,0,0,0,1,0,0,0,0.307636935,0.117428373,0.350891957,0.020001675,0.20404106,0.426677489,0.104967532,0.041791045,0.023880597,0.636363636,0.363636364,0.385930736,0.1,0.7,-0.239583333,-0.5,-0.1,0,0,0.5,0,1900
175,12,159,0.656050951,0.999999989,0.734042545,5,5,0,1,4.081761006,7,0,0,1,0,0,0,-1,722,112.0842857,4000,843300,523628.5714,1917.428571,5426.023428,3364.256003,2200,4000,3100,0,0,0,1,0,0,0,0,0.59195597,0.028572368,0.028571957,0.028571517,0.322328188,0.355208333,0.146875,0.031446541,0.012578616,0.714285714,0.285714286,0.3,0.1,0.5,-0.1625,-0.2,-0.125,0.333333333,0.25,0.166666667,0.25,1100
199,10,904,0.439597315,0.999999998,0.621013132,7,1,2,1,5.001106195,4,0,0,0,0,0,1,-1,384,106.25,67700,843300,290925,2208.43088,5422.517241,3415.24194,1200,1200,1200,1,0,0,0,0,0,0,0,0.050000852,0.050000173,0.799995225,0.050000089,0.050003661,0.33270297,0.026180983,0.023230088,0.019911504,0.538461538,0.461538462,0.348046794,0.033333333,0.7,-0.299537037,-0.75,-0.05,0,0,0.5,0,1300
127,14,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,-1,5400,681.32375,16300,843300,556387.5,3115.773076,10850,5542.983287,0,0,0,0,0,1,0,0,0,0,0,0.025012089,0.025299152,0.025000438,0.899688204,0.025000117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2800
687,9,153,0.619047615,0.999999989,0.698924724,2,1,1,0,4.385620915,3,0,0,0,1,0,0,217,382,315.6666667,32700,69100,51233.33333,2718.806426,3841.053097,3095.982586,4600,4600,4600,0,0,1,0,0,0,0,0,0.732361811,0.066768448,0.067077769,0.067123614,0.066668358,0.357644628,0.049414601,0.026143791,0.019607843,0.571428571,0.428571429,0.255681818,0.136363636,0.5,-0.159722222,-0.1875,-0.125,0,0,0.5,0,16200
